On iwillvote.com?,Form complete?,Muni,AbsenteeLocation,Address,FromDate,ToDate,AdditionalInstructions
,,CITY OF RIPON - FOND DU LAC COUNTY,Ripon City Hall Entry Area,"100 E JACKSON ST, RIPON, WI 54971",9/17/2020,11/3/2020,
yes,NA,CITY OF SCHOFIELD - MARATHON COUNTY,Schofield City Hall,"200 PARK ST, SCHOFIELD, WI 54476-1164",9/18/2020,11/3/2020,Locked dropbox located to the right side of Schofield City Hall front doors
yes,NA,CITY OF SHAWANO - SHAWANO COUNTY,Shawano City Hall,"127 S SAWYER ST, SHAWANO, WI 54166-2433",9/16/2020,11/3/2020,The drop box is monitored by security cameras and is checked and emptied several times per day. 
yes,NA,CITY OF SHEBOYGAN - SHEBOYGAN COUNTY,Mead Library,"710 N 8TH ST, SHEBOYGAN, WI 53081-4505",9/18/2020,11/3/2020,Official Ballot Drop Box located in drive-through lane of library past book drops. 
yes,NA,CITY OF SHEBOYGAN - SHEBOYGAN COUNTY,Sheboygan City Hall Lobby,"828 CENTER AVE, SHEBOYGAN, WI 53081",9/18/2020,11/3/2020,
yes,NA,CITY OF SHEBOYGAN FALLS - SHEBOYGAN COUNTY,City Hall Parking Lot,"375 BUFFALO ST, SHEBOYGAN FALLS, WI 53085-1321",9/21/2020,11/3/2020,"Please use the tax payment drop box with the ""Official Absentee Drop Box"" sign"
no,yes,CITY OF SPARTA - MONROE COUNTY,Sparta City Hall,"201 W OAK ST, SPARTA, WI 54656-2148",9/21/2020,11/3/2020,Outside Drop Box is located on the building on the S Court Street entrance.
no,yes,CITY OF SPARTA - MONROE COUNTY,Sparta City Hall,"201 W OAK ST, SPARTA, WI 54656-2148",9/21/2020,11/3/2020,In-House Drop Box located inside City Hall.
yes,NA,CITY OF STOUGHTON - DANE COUNTY,Stoughton City Hall,"207 S FORREST ST, STOUGHTON, WI 53589",9/17/2020,11/3/2020,SDrop Box is available 24/7 is the drive-thru area behind City Hall (McFarland State Bank). 
yes,NA,CITY OF SUN PRAIRIE - DANE COUNTY,City Hall,"300 E MAIN ST, SUN PRAIRIE, WI 53590",11/3/2020,11/3/2020,"After 2pm on Election Day, we strongly recommend taking any absentee ballots directly to Sun Prairie High School, 888 Grove St, Sun Prairie, WI 53590.  "
yes,NA (not dropbox),CITY OF SUN PRAIRIE - DANE COUNTY,Sun Prairie High School,"888 GROVE ST, SUN PRAIRIE, WI 53590",11/3/2020,11/3/2020,Absentee ballot drop-off will be available here on Election Day only.  
yes,NA,CITY OF SUN PRAIRIE - DANE COUNTY,Sun Prairie Utilities,"125 W MAIN ST, SUN PRAIRIE, WI 53590-2905",11/3/2020,11/3/2020,"After 2pm on Election Day, we strongly recommend taking any absentee ballots directly to Sun Prairie High School, 888 Grove St, Sun Prairie, WI 53590.  "
